Names;Links;Description
Accerion;https://accerion.tech/;Make infrastructure-free positioning technology for mobile robots and AGVs. Triton[^79], simplify high-performance AMR functions in logistics. ROS driver for Interfacing with Triton sensor� (see [`accerion-ros-node`](https://gitlab.com/accerion/accerion-ros-node)).
Accio Robotics;https://www.acciorobotics.com/;Design and manufacture of state-of-the-art Robotics Automation solutions.� Hiring ROS engineers ([Robotics Software Engineer](https://angel.co/company/accio-robotics-1/jobs/1442403-robotics-software-engineer)).
Active8 Robots;http://www.active8robots.com;Deliver automated solutions in robotics technologies and automation. They provide robotic automation for projects and common processes. Their products include robots, installation-ready automation cells, end-of-arm tooling, end-of-line automation, and so on. The company uses the ROS Manipulation stack (MoveIt) in the [AR10 Robotic Hand](https://moveit.ros.org/robots/).
ADASTEC;https://www.adastec.com/;Deliver SAE Level-4 Automated Driving Software Platform for commercial vehicles to enable OEMs to develop modern, automated, shared, and connected commercial vehicles. Hiring ROS engineers ([Planning Software Engineer](https://kpm.metu.edu.tr/planning-software-engineer-adastec-teknoloji-as/)).
Addverb;https://addverb.com/;Deliver automation solutions to improve intralogistics operations. Hiring ROS engineers ([Robotics Engineer](https://addverb.com/career/robotics-engineer/)).
Adinkra;https://adinkratech.com/;Specializes in end-to-end robotics and AI product development with a focus on autonomous drones, high-fidelity simulation, and computer vision. Adinkra developed and deployed an advanced real-time perception system, retrained for an aerial perspective and built on [ROS2](https://adinkratech.com/case_studies/real-time-object-tracking-for-drones/).
ADLATUS Robotics GmbH;http://www.adlatus-robotics.com;Designs and manufactures autonomous mobile robots for use in industrial environments such as manufacturing, logistics, and warehousing. ROS 2 drivers to develop and control their autonomous mobile robots (see [`adlatusrobotics`](https://github.com/adlatusrobotics)).
ADLINK Technology;https://www.adlinktech.com/en/index;Provide a wide range of embedded computing products and services to the test and measurement, automation and process control, gaming, communications, medical, network security, and transportation industries. ADLINK is using Navigation stack in their products like the [ROScube-X series](https://www.adlinktech.com/Products/Download.ashx?type=MDownload&isDatasheet=yes&file=1783%5CROScube-X_series_DS.pdf) of embedded systems for robots. ADLINK offers a [AMR visual SLAM navigation solution](https://www.adlinktech.com/en/kudan-amr-visual-slam). Empowering tracking in Autonomous Mobile Robots (AMRs). ROS2 Navigation (see [`Adlink-ROS/navigation2`](https://github.com/Adlink-ROS/navigation2)).
Advanced Micro Devices (AMD);https://amd.com;High-performance and adaptive computing leader, GPU, CPU and FPGA solutions. Kria SOMs feature ROS 2 support and provide hardware acceleration capabilities to roboticists.
Advanced Navigation;https://www.advancednavigation.com;Specializes in the development of navigation technologies and robotics. ROS driver for Advanced Navigation [devices](https://www.advancednavigation.com/inertial-systems/) (see [`advanced_navigation_driver`](https://github.com/ros-drivers/advanced_navigation_driver)).
Aeolus Robotics;http://aeolusbot.com/;Bring autonomous two-armed robots to service sectors. The company works around artificial intelligence, robotics, computer vision, and human-robot Interaction. Hiring ROS engineers ([Robotics developers](https://discourse.ros.org/t/robotics-mobility-vision-and-manipulation-positions-at-aeolus-robotics/1334)).
Aerobotix;http://aerobotix.net;Robotic solutions for the aerospace and defense industries. Specialize in the creation of cutting-edge automated robotic solutions for high-value, high-precision components, aircraft, and vehicles. Aerobotix used ROS to handle all MIR motion[^113]. The company is [currently members](https://rosindustrial.org/current-members) of ROS-Industrial.
AeroVect;http://aerovect.com/;Develop autonomous driving platforms for GSE. Hiring engineers with experience in ROS ([Vehicle Integration Engineer](https://discourse.ros.org/t/airport-autonomous-vehicle-startup-looking-for-ros-developers-in-san-francisco/21053)).
AeroVironment;https://avinc.com/;Leader in the markets for small Unmanned Aircraft Systems, Tactical Missile Systems, High-Altitude Pseudo-Satellites and Commercial Information Systems.� Offer flexible software control options\'a0including via ROS[^197][^198]
Aeva;http://www.aeva.com;Develop a sensing and perception paradigm for autonomous machines. Hiring ROS engineers ([Senior Localization Engineer](https://www.aeva.com/career/?lv_jid=5eebfe09-4d72-4f59-a7bb-d39c8bebc7c6)).
AEye;https://www.aeye.ai/;Create software-defined lidar solutions that enable advanced driver-assistance, vehicle autonomy, smart infrastructure, logistics and off-highway applications. Hiring ROS engineers ([ROS1 and ROS2 developer](https://discourse.ros.org/t/aeye-public-lidar-company-looking-for-ros1-and-ros2-developer/26493)).
AGCO;https://www.agcocorp.com/;Global leader in the design, manufacture and distribution of smart solutions for sustainable agriculture. Hiring engineers with experience in ROS ([Systems Engineer (m/f/d) Logical Architecture](https://careers.agcocorp.com/job/Marktoberdorf-Systems-Engineer-%28mfd%29-Logical-Architecture/952146200/)).
AgileX Robotics;https://www.agilex.ai/?lang=en-us;Develop a full line-up of� robotics UGV covering all terrains and payloads, including general UGV, indoor AGV, tracked UGV. The world\'92s first ROS2 mobile robot navigation open source education kit released[^377].
AgriData Innovations;http://adinnovations.nl/;Develop hardware and software solutions to improve the efficiency and effectiveness of greenhouses. Using state-of-the-art camera systems, data analysis software and presentation of actionable insights for data-driven greenhouse management. Hiring engineers with experience in ROS ([Embedded / Electrical Engineer](https://talents.yesdelft.com/careers/embedded-electrical-engineer-adi)).
Agrograde;https://agrograde.com/;Automate the grading and sorting process of fruits and vegetables by using computer vision. Company worker works as a [ROS developer](https://www.linkedin.com/in/sayooj-p/?trk=public_profile_browsemap_profile-result-card_result-card_full-click&originalSubdomain=in).
AICA;https://aica.tech/;"Artificial Intelligence for Collaboration and Automation; a modular and intuitive robot programming framework of smart components for AI-based motion generation and compliant control. Their technology stack supports ROS2 and ros2_control interfaces (see [`AICA docker images`](https://github.com/aica-technology/docker-images))."
Aidrivers;https://www.aidrivers.ai/;Accelerate autonomous mobility technology to meet industry needs for optimization, resilience, and safety for a sustainable future. Hiring ROS engineers ([Autonomy Engineer (Drive Control)](https://www.mycareersfuture.gov.sg/job/engineering/autonomy-engineer-aidrivers-singapore-49f864dfe7606b4428fd35464d97240d)).
Airbound;https://airbound.co/;Develop a delivery platform designed to provide drone delivery services. The company specializes in robotics, autonomy, and designs and allows users to order from local shops through its app and it delivers the order by drone. Hiring engineers with experience in ROS ([Robotics/Autonomy Engineer](https://discourse.ros.org/t/robotics-autonomy-engineer-at-airbound/32533/1)).
Airbus;https://www.airbus.com/en;Global leader in aeronautics, space and related services. Using ROS for various purposes and across divisions. Hiring ROS engineers ([Robotic Engineer](https://www.linkedin.com/jobs/view/3295097708/)).
Airvolute;https://www.airvolute.com/;Drones and Aupilots with ROS based system for autonomous flight[^200][^201].
Aivot;https://www.aivot.com/;Build fast-learning and low-cost humanoid robots. ROS drivers for Aivot robots (see [`AivotRobotics`](https://github.com/AivotRobotics)).
